what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376828021407
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1376828044693
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1376828047125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376830021099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376830259656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376830261602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376830265757
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1376830276303
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1376830278821
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1376830296752
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1376830299201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376830315271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376830328924
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1376830328953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1376830379715
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1376830389231
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1376830389846
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1376830392313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376830409955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376830410894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376830411194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376830419399
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1376830425558
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1376830427995
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1376830436233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376834100961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376946982585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376946984310
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1376946985662
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376946985721
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1376946985940
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1376946985941
